Participants,Age,Sexe,isMusician,Modalite,Question,Item,Filename,Musician,Express,Social,Zoom,Intensity,Authenticity,Nostalgie,Tristesse,Joie,Transcendance,Tension,Emerveillement,Serenite,Tendresse,Pouvoir,Tete,Buste,BrasDroit,BrasGauche,Hanche,Jambes,Corps
ahpqcfka_1401789286,22,woman,melo,2,2,1,2_1_2_1,Ca,met,nat,zoom1,58,42,88,55,11,64,77,9,9,62,66,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,2,2_3_1_1,Ca,emph,abs,zoom1,67,69,54,22,67,67,54,65,11,75,60,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,3,2_2_1_1,Ca,conc,abs,zoom1,70,64,13,74,15,25,65,30,0,80,33,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,4,4_2_2_1,St,conc,nat,zoom1,82,84,84,84,14,82,29,82,84,80,38,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,5,4_2_1_1,St,conc,abs,zoom1,84,86,57,86,24,86,78,64,15,81,71,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,6,1_1_2_1,As,met,nat,zoom1,76,72,17,25,82,76,69,63,16,25,79,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,7,2_2_2_2,Ca,conc,nat,zoom2,67,76,27,78,13,54,82,34,23,77,41,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,8,3_1_2_2,He,met,nat,zoom2,85,72,80,83,67,81,66,75,13,36,70,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,9,4_3_2_1,St,emph,nat,zoom1,75,74,77,84,63,73,83,74,33,78,75,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,10,2_1_1_1,Ca,met,abs,zoom1,57,72,20,89,28,30,87,71,23,83,17,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,12,1_2_2_1,As,conc,nat,zoom1,81,84,77,77,77,75,84,55,74,90,72,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,13,1_3_1_1,As,emph,abs,zoom1,69,68,73,82,29,72,80,61,10,68,52,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,14,4_3_1_1,St,emph,abs,zoom1,82,87,18,85,20,85,56,82,77,85,59,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,15,1_1_1_1,As,met,abs,zoom1,70,59,19,24,57,28,91,31,18,23,45,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,16,1_3_2_1,As,emph,nat,zoom1,70,64,69,68,16,36,83,52,19,71,71,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,17,3_2_2_2,He,conc,nat,zoom2,63,60,19,20,81,82,38,78,81,83,51,6,0,8,1,0,3,6
ahpqcfka_1401789286,22,woman,melo,2,2,18,2_3_2_1,Ca,emph,nat,zoom1,79,70,76,16,72,73,68,74,39,29,51,6,0,8,1,0,3,6
