filename,musician,express,social,feat_BRIGHTNESS_1000,feat_BRIGHTNESS_1500,feat_BRIGHTNESS_3000,feat_CEPSTRE_CENTROID,feat_CEPSTRE_MAX,feat_CEPSTRE_MEAN,feat_EVENTDENSITY,feat_FLUX_DU_CEPSTRE,feat_FLUX_DU_SPECTRE,feat_HCDF,feat_KEYCLARITY,feat_a_metRICAL_CENTROID,feat_a_metRICAL_STRENGTH,feat_MODE,feat_NOVELTY_AC_WAVEFORM,feat_NOVELTY_CEPSTRE,feat_NOVELTY_CHROMAGRAM_1,feat_NOVELTY_CHROMAGRAM_2,feat_NOVELTY_KEYSTRENGTH_1,feat_NOVELTY_KEYSTRENGTH_2,feat_NOVELTY_a_metRIC,feat_NOVELTY_MFCC,feat_NOVELTY_SPECTRE,feat_PULSECLARITY,feat_RMS,feat_ROLLOFF,feat_ROUGHNESS,feat_SPECTRE_CENTROID,feat_SPECTRE_ENTROPIE,feat_SPECTRE_FLATNESS,feat_SPECTRE_KURTOSIS,feat_SPECTRE_SKEWNESS,feat_SPECTRE_SPREAD,feat_TEMPO,feat_TEMPO_CHANGE,feat_ZEROCROSS,feat_zscore_BRIGHTNESS_1000,feat_zscore_BRIGHTNESS_1500,feat_zscore_BRIGHTNESS_3000,feat_zscore_CEPSTRE_CENTROID,feat_zscore_CEPSTRE_MAX,feat_zscore_CEPSTRE_MEAN,feat_zscore_EVENTDENSITY,feat_zscore_FLUX_DU_CEPSTRE,feat_zscore_FLUX_DU_SPECTRE,feat_zscore_HCDF,feat_zscore_KEYCLARITY,feat_zscore_a_metRICAL_CENTROID,feat_zscore_a_metRICAL_STRENGTH,feat_zscore_MODE,feat_zscore_NOVELTY_AC_WAVEFORM,feat_zscore_NOVELTY_CEPSTRE,feat_zscore_NOVELTY_CHROMAGRAM_1,feat_zscore_NOVELTY_CHROMAGRAM_2,feat_zscore_NOVELTY_KEYSTRENGTH_1,feat_zscore_NOVELTY_KEYSTRENGTH_2,feat_zscore_NOVELTY_a_metRIC,feat_zscore_NOVELTY_MFCC,feat_zscore_NOVELTY_SPECTRE,feat_zscore_PULSECLARITY,feat_zscore_RMS,feat_zscore_ROLLOFF,feat_zscore_ROUGHNESS,feat_zscore_SPECTRE_CENTROID,feat_zscore_SPECTRE_ENTROPIE,feat_zscore_SPECTRE_FLATNESS,feat_zscore_SPECTRE_KURTOSIS,feat_zscore_SPECTRE_SKEWNESS,feat_zscore_SPECTRE_SPREAD,feat_zscore_TEMPO,feat_zscore_TEMPO_CHANGE,feat_zscore_ZEROCROSS,feat_zscore_norm_BRIGHTNESS_1000,feat_zscore_norm_BRIGHTNESS_1500,feat_zscore_norm_BRIGHTNESS_3000,feat_zscore_norm_CEPSTRE_CENTROID,feat_zscore_norm_CEPSTRE_MAX,feat_zscore_norm_CEPSTRE_MEAN,feat_zscore_norm_EVENTDENSITY,feat_zscore_norm_FLUX_DU_CEPSTRE,feat_zscore_norm_FLUX_DU_SPECTRE,feat_zscore_norm_HCDF,feat_zscore_norm_KEYCLARITY,feat_zscore_norm_a_metRICAL_CENTROID,feat_zscore_norm_a_metRICAL_STRENGTH,feat_zscore_norm_MODE,feat_zscore_norm_NOVELTY_AC_WAVEFORM,feat_zscore_norm_NOVELTY_CEPSTRE,feat_zscore_norm_NOVELTY_CHROMAGRAM_1,feat_zscore_norm_NOVELTY_CHROMAGRAM_2,feat_zscore_norm_NOVELTY_KEYSTRENGTH_1,feat_zscore_norm_NOVELTY_KEYSTRENGTH_2,feat_zscore_norm_NOVELTY_a_metRIC,feat_zscore_norm_NOVELTY_MFCC,feat_zscore_norm_NOVELTY_SPECTRE,feat_zscore_norm_PULSECLARITY,feat_zscore_norm_RMS,feat_zscore_norm_ROLLOFF,feat_zscore_norm_ROUGHNESS,feat_zscore_norm_SPECTRE_CENTROID,feat_zscore_norm_SPECTRE_ENTROPIE,feat_zscore_norm_SPECTRE_FLATNESS,feat_zscore_norm_SPECTRE_KURTOSIS,feat_zscore_norm_SPECTRE_SKEWNESS,feat_zscore_norm_SPECTRE_SPREAD,feat_zscore_norm_TEMPO,feat_zscore_norm_TEMPO_CHANGE,feat_zscore_norm_ZEROCROSS,feat_zscore_norm_fact_BRIGHTNESS_1000,feat_zscore_norm_fact_BRIGHTNESS_1500,feat_zscore_norm_fact_BRIGHTNESS_3000,feat_zscore_norm_fact_CEPSTRE_CENTROID,feat_zscore_norm_fact_CEPSTRE_MAX,feat_zscore_norm_fact_CEPSTRE_MEAN,feat_zscore_norm_fact_EVENTDENSITY,feat_zscore_norm_fact_FLUX_DU_CEPSTRE,feat_zscore_norm_fact_FLUX_DU_SPECTRE,feat_zscore_norm_fact_HCDF,feat_zscore_norm_fact_KEYCLARITY,feat_zscore_norm_fact_a_metRICAL_CENTROID,feat_zscore_norm_fact_a_metRICAL_STRENGTH,feat_zscore_norm_fact_MODE,feat_zscore_norm_fact_NOVELTY_AC_WAVEFORM,feat_zscore_norm_fact_NOVELTY_CEPSTRE,feat_zscore_norm_fact_NOVELTY_CHROMAGRAM_1,feat_zscore_norm_fact_NOVELTY_CHROMAGRAM_2,feat_zscore_norm_fact_NOVELTY_KEYSTRENGTH_1,feat_zscore_norm_fact_NOVELTY_KEYSTRENGTH_2,feat_zscore_norm_fact_NOVELTY_a_metRIC,feat_zscore_norm_fact_NOVELTY_MFCC,feat_zscore_norm_fact_NOVELTY_SPECTRE,feat_zscore_norm_fact_PULSECLARITY,feat_zscore_norm_fact_RMS,feat_zscore_norm_fact_ROLLOFF,feat_zscore_norm_fact_ROUGHNESS,feat_zscore_norm_fact_SPECTRE_CENTROID,feat_zscore_norm_fact_SPECTRE_ENTROPIE,feat_zscore_norm_fact_SPECTRE_FLATNESS,feat_zscore_norm_fact_SPECTRE_KURTOSIS,feat_zscore_norm_fact_SPECTRE_SKEWNESS,feat_zscore_norm_fact_SPECTRE_SPREAD,feat_zscore_norm_fact_TEMPO,feat_zscore_norm_fact_TEMPO_CHANGE,feat_zscore_norm_fact_ZEROCROSS,Component 1,Component 2,Component 3,Component 4
1111.tsv,As,a_met,abs,0.70769,0.62308,0.28449,0.018803,2477.6186,116.4035,2.5878,52922.5718,187.4589,0.90016,0.62631,278.0557,0.3642,-0.07292,0.41402,0.31093,0.31596,0.23457,0.14202,0.12506,0.1926,0.16837,0.43103,0.18762,0.053374,4297.6888,34.8192,2573.829,0.71496,0.072869,12.6872,2.4929,2391.1194,189.73,0.0078006,1508.0188,-1.055641163,-1.259202755,0.356518672,1.504591762,-1.329733462,0.238475378,-0.239452829,0.307870552,-1.079324914,0.657461792,-0.324714173,-0.614422496,0.656887987,-0.367719333,1.084622678,-0.221186324,1.642606524,0.669704446,0.013236941,0.45858709,-0.130115749,-0.888251488,1.037534944,0.621266055,0.344212215,0.216494693,-0.624613201,-0.263711581,-0.267356745,1.605823,-0.718707425,-0.414446399,0.923233932,0.831245576,1.340088739,-0.895440332,0.214246406,0.155093313,0.657089988,1,0,0.536088496,0.393409647,0.600512233,0.106442162,0.686903225,0.419176828,0.341225956,0.595806733,0.320280206,0.758572699,0.4463415,1,0.735484492,0.509536954,0.642891134,0.426939802,0.163976435,0.743139376,0.619933514,0.529828979,0.607317229,0.278602279,0.464162087,0.513375959,1,0.152140502,0.267153197,0.873149873,0.78651901,0.955955904,0.258253493,a25,a25,c75,d100,a25,c75,b50,c75,a25,c75,b50,b50,c75,b50,d100,b50,d100,c75,c75,c75,b50,a25,c75,c75,c75,c75,b50,b50,c75,d100,a25,b50,d100,d100,d100,b50,5.43426,-0.3254,-1.65407,0.27697
1121.tsv,As,a_met,nat,0.70698,0.63145,0.2727,0.018521,2510.9542,116.3477,2.7752,52087.1652,202.4054,0.89854,0.64856,260.4861,0.27983,-0.075298,0.31818,0.44718,0.25386,0.27602,0.18432,0.1255,0.17122,0.21977,0.3583,0.20417,0.059484,4347.537,41.0128,2575.1575,0.70665,0.071525,12.7812,2.5047,2399.7153,197.2393,0.0036823,1487.2717,-1.142860546,-0.415478107,-0.766872457,0.220794858,-1.087789356,0.205761473,0.340182825,-0.579034216,-0.089192413,0.615548441,1.304347914,-1.561611242,-1.61884317,-0.987447593,-0.547163792,1.420391703,0.452270272,1.577759705,1.305366066,0.491745227,-0.575215704,0.091038395,-0.274241092,1.510323834,1.829827919,0.857870258,0.836147016,-0.227205258,-1.777029146,0.67595393,-0.546364318,-0.211662674,1.23023531,1.546450756,0.688328618,-1.232591846,0.186779907,0.38550703,0.363429725,0.622994652,0.072901997,0.526995706,0.565566291,0.363838609,0.391374484,0.673962381,0.846715251,0.033661293,0,0.143871924,0.270899022,0.913701684,0.633465847,1,0.870928859,0.65113525,0.309897128,0.466040341,0.361920813,0.877591305,0.91320584,0.773514172,0.665587869,0.474119671,0.062269477,0.742906332,0.203648802,0.324308466,0.960832811,1,0.762087724,0.161734634,a25,b50,b50,c75,a25,c75,c75,b50,b50,c75,d100,a25,a25,a25,b50,d100,c75,d100,d100,c75,b50,b50,b50,d100,d100,d100,c75,b50,a25,c75,a25,b50,d100,d100,d100,a25,4.6681,1.63885,-3.28626,-0.91274
1211.tsv,As,b_conc,abs,0.72448,0.64743,0.28785,0.018055,2661.8312,113.8149,2.1818,50910.8139,199.604,0.81417,0.60691,296.1207,0.33044,-0.067299,0.39472,0.30935,0.21372,0.2224,0.08238,0.13187,0.19195,0.31063,0.30949,0.18685,0.049827,4322.0636,37.2931,2611.3452,0.71516,0.06856,12.8753,2.4799,2352.6649,166.8422,-0.0067821,1552.0869,1.006912964,1.195360587,0.676670851,-1.900656764,0.007250209,-1.279144954,-1.495226978,-1.827901028,-0.274771457,-1.567309224,-1.74510988,0.359473591,-0.253728155,1.097163993,0.756017932,-0.240222605,-0.31713548,0.403093288,-1.808573484,0.971784627,-0.143647787,1.822133312,-1.154590168,0.579902038,-0.518222957,0.530114866,-0.041144023,0.767209385,-0.231022872,-1.375431333,-0.373837867,-0.637852198,-0.45016321,-1.34864777,-0.967762151,-0.179310049,0.863771096,0.825412787,0.740779427,0,0.402856597,0.114267806,0.020434207,0.030574155,0.337970048,0,0.046401753,0.657462845,0.357399298,0.737265466,0.660366293,0.440921837,0.396546669,0.657820952,0,0.770487562,0.423381441,1,0.106080334,0.60794581,0.307269613,0.688584301,0.43317533,0.745359467,0.524232914,0.175731685,0.255211899,0.204185527,0.480892688,0.135844485,0.269478109,0.46326541,d100,d100,c75,a25,b50,a25,a25,a25,b50,a25,a25,c75,b50,c75,c75,b50,b50,c75,a25,d100,b50,d100,a25,c75,b50,c75,b50,c75,c75,a25,b50,a25,b50,a25,b50,b50,5.01343,-0.50004,-0.22236,2.7583
1221.tsv,As,b_conc,nat,0.70991,0.6239,0.26109,0.018528,2676.9549,114.8105,2.4832,53078.2623,189.3231,0.89678,0.63436,315.6881,0.33608,-0.068579,0.27573,0.42177,0.19412,0.15596,0.16328,0.11808,0.19869,0.24122,0.42087,0.16762,0.047498,4115.5334,30.4595,2511.9024,0.71619,0.069057,14.2345,2.6442,2317.6969,182.434,-0.01083,1541.9514,-0.782927038,-1.176543948,-1.873112575,0.252662157,0.117015447,-0.695453846,-0.56298479,0.473158505,-0.955830784,0.570012948,0.264676829,1.414365054,-0.101599155,0.763584441,-1.269923973,1.114244931,-0.692829369,-1.052423997,0.66266165,-0.067421546,-0.003330963,0.499710924,0.854286704,-0.45312401,-1.084507569,-2.127221278,-1.652848205,-1.965414587,-0.043903429,-1.0315735,2.118170124,2.185653401,-1.699040487,0.136355641,-1.608380804,-0.344017365,0.300127574,0.1776667,0.074252824,0.632352941,0.435930786,0.276504026,0.297317945,0.644619899,0.141980304,0.659903192,0.573859268,1,0.397228028,0.64231063,0.054895813,0.826541154,0.280861172,0.233830352,0.691172696,0.51210948,0.460278898,0.592096193,0.68988514,0.308564583,0.161134637,0,0.006201562,0,0.580146232,0.270802781,1,1,0.124199732,0.5791019,0.078923995,0.416113427,b50,a25,a25,c75,b50,b50,b50,c75,a25,c75,c75,d100,b50,c75,a25,d100,b50,a25,c75,c75,b50,c75,c75,b50,a25,a25,a25,a25,c75,b50,d100,d100,a25,c75,a25,b50,4.04951,0.12915,1.38933,-0.36543
1311.tsv,As,c_emph,abs,0.72399,0.64547,0.29041,0.01845,2756.7951,115.3534,2.7152,52847.8592,211.4007,0.82735,0.64359,280.2428,0.32714,-0.077159,0.2861,0.20237,0.25319,0.14436,0.15625,0.12259,0.14136,0.14952,0.29651,0.1615,0.047986,4272.3849,37.4971,2613.4311,0.72344,0.070664,13.2054,2.5074,2350.5965,170.1829,-2.50E-06,1649.7637,0.946719306,0.997785879,0.92059632,-0.102430604,0.696482018,-0.377167483,0.154600438,0.228552336,0.506702203,-1.22631048,0.940463034,-0.49651449,-0.342739804,-1.472440988,-1.09336277,-1.529147503,0.439427674,-1.306548026,0.447917732,0.272449363,-1.196856707,-1.247387953,-1.388700617,-0.78188737,-0.965852828,-0.109079814,0.006969366,0.824528571,1.273199448,0.080256557,0.231379788,-0.165263008,-0.524035829,-1.030470851,0.105173992,1.40799039,0.844815342,0.771456887,0.804542809,0.528074866,0.610534213,0.364971326,0.510446768,0.579345891,0.562856216,0.105284155,0.751215657,0.379512239,0.334095253,0.005816495,0.107662675,0.073962626,0.629511291,0.159804299,0.631111583,0.596611666,0.146431542,0.053200081,0.038044902,0.21328569,0.191754589,0.522952481,0.445921562,0.760994036,0.973710852,0.578205701,0.436093706,0.337386367,0.459793863,0.230816845,0.588626473,0.917673654,d100,d100,d100,c75,c75,b50,c75,c75,c75,a25,d100,b50,b50,a25,a25,a25,c75,a25,c75,c75,a25,a25,a25,a25,a25,c75,b50,d100,d100,c75,b50,b50,b50,a25,c75,d100,5.76005,0.20373,0.11387,-1.31137
1321.tsv,As,c_emph,nat,0.72465,0.6421,0.28795,0.018478,2880.8395,119.2504,3.2481,53948.7942,232.3187,0.91149,0.62474,306.1231,0.40139,-0.067799,0.41315,0.28413,0.15074,0.19069,0.12127,0.090748,0.29728,0.20044,0.42483,0.14857,0.053581,4329.9683,43.7236,2614.8891,0.72219,0.070613,12.6916,2.473,2379.8226,179.5856,0.0021293,1639.6335,1.027796478,0.658078344,0.686199189,0.025038592,1.596775143,1.907529432,1.802881334,1.397353852,1.892417364,0.950596524,-0.439663723,0.898709584,1.660022297,0.96685948,1.069809925,-0.544080204,-1.524339621,-0.291585416,-0.620608906,-2.12714476,2.04916691,-0.27724319,0.92571023,-1.476480547,0.394543221,0.631821275,1.475489046,0.86459347,1.046112745,0.044971346,-0.710640301,-0.756429122,0.519770284,-0.134933352,0.442551606,1.243369202,0.870347582,0.678685773,0.743270185,0.565508021,0.881808299,1,1,0.891244643,0.961626116,0.777409256,0.389008948,0.832559876,0.85843625,0.700173733,0.754145778,0.354413038,0.024818473,0.455461802,0.33225842,0,1,0.352443156,0.710641712,0.011985676,0.542817361,0.714939053,0.834962794,0.771922269,0.905854883,0.568449915,0.154551529,0.170764225,0.75791626,0.498125077,0.688980548,0.870546328,d100,c75,c75,c75,d100,d100,d100,d100,d100,d100,b50,d100,d100,c75,d100,b50,a25,b50,b50,a25,d100,b50,c75,a25,c75,c75,d100,d100,d100,c75,a25,a25,d100,b50,c75,d100,6.05551,2.74194,1.35049,1.22398
2111.tsv,Ca,a_met,abs,0.60092,0.48183,0.22786,0.018003,2803.903,117.3914,2.7025,51286.8026,183.3611,0.94949,0.60878,260.595,0.344,-0.06588,0.32081,0.30517,0.40375,0.42791,0.20162,0.08763,0.079973,0.20867,0.28754,0.21621,0.061142,3702.7447,56.1118,2177.7105,0.67409,0.057988,17.4475,3.0496,2238.8003,176.3147,0.0091319,1266.6604,-0.994117913,-0.391790595,1.668313669,0.63058949,-1.206275315,1.38255767,1.079318498,0.421603601,-0.492896523,-0.736821743,-0.927671571,-1.640020051,-1.083713359,-0.47412988,-0.280780777,-0.370576131,1.141589398,0.482502829,0.774668553,-1.580236351,-1.624339061,0.462987547,-1.51961342,1.932699585,0.533114943,1.73190845,1.160643915,1.700768098,-0.48750342,0.802358042,-1.22775872,-1.362291119,1.255290306,-0.345773874,1.05418931,1.39067879,0.233620865,0.391975879,1,0.743336715,0.037200102,0.85408475,0.785095777,0.630862293,0.275199781,0.256414941,0.260933961,0.00820092,0.140101762,0.289989992,0.350509919,0.403809956,0.845724359,0.680952865,0.722499587,0.13597797,0.034021561,0.580768794,0,1,0.578577074,1,0.751553808,1,0.447593745,0.777855012,0,0,0.967988791,0.435191468,0.870914183,0.912717734,a25,b50,d100,c75,a25,d100,d100,c75,b50,b50,b50,a25,a25,b50,b50,b50,d100,c75,c75,a25,a25,c75,a25,d100,c75,d100,d100,d100,b50,d100,a25,a25,d100,b50,d100,d100,-2.36661,0.58573,-4.8356,0.39032
2121.tsv,Ca,a_met,nat,0.59966,0.47849,0.21453,0.017707,2923.6186,114.616,2.3884,49276.4187,184.9999,0.94713,0.6066,293.9253,0.35007,-0.062657,0.27107,0.37209,0.38846,0.48464,0.19067,0.21789,0.30809,0.19139,0.43843,0.18042,0.065102,3594.2661,55.4269,2140.2511,0.66662,0.054372,18.9152,3.1471,2150.6657,207.5416,0.0039994,1242.7072,-1.249435599,-0.843025279,0.536346795,-1.171094767,-0.42473406,-0.181290034,-0.417299638,-1.652707204,-0.311580597,-0.833010442,-1.05952214,-0.32952092,-0.911879596,0.743302085,-1.453608779,0.579066004,0.873151561,1.137971831,0.451496477,-0.095152104,1.262974578,-0.468377391,1.250848,-0.360474999,1.637034194,0.398200928,1.081644684,0.379630383,-1.663747136,-0.938716538,0.014284727,-0.289577631,-0.299192627,1.153355063,0.579716363,-0.967770339,0.153218058,0.26874769,0.704097992,0.214246329,0.27269217,0.41941522,0.340587655,0.077325236,0.327377411,0.226716457,0.226330501,0.433737251,0.185089375,0.636537171,0,0.674174761,0.763065669,0.871890271,0.632112512,0.505214825,0.793264296,0.293487433,0.805130825,0.335415188,0.863453638,0.654401999,0.730625278,0.639642149,0.09611937,0.29647622,0.371210359,0.302347876,0.524011531,0.882665199,0.729780654,0.237547047,a25,b50,c75,a25,b50,b50,b50,a25,b50,a25,a25,b50,a25,c75,a25,c75,d100,d100,c75,c75,d100,b50,d100,b50,d100,c75,c75,c75,a25,b50,b50,b50,c75,d100,c75,a25,-4.85063,0.75139,-2.61831,2.28276
2211.tsv,Ca,b_conc,abs,0.61293,0.48653,0.20286,0.018146,2924.3957,115.0186,2.2143,51661.9336,186.3216,0.98847,0.61758,301.3346,0.40306,-0.060916,0.38626,0.4009,0.24731,0.39973,0.12132,0.34373,0.16698,0.23025,0.42033,0.1749,0.056453,3542.2119,42.6162,2124.4695,0.68503,0.058099,17.9011,3.1147,2180.0914,158.3533,-0.00010043,1241.4091,1.439505432,0.243180369,-0.454654962,1.500997762,-0.419660906,0.045561982,-1.246848245,0.808663151,-0.16534844,0.851922119,-0.395430743,-0.038197973,0.588198009,1.400934432,1.262476013,0.987900282,-1.604938737,0.156905853,-1.595260005,1.339540062,-0.523077438,1.626115751,0.918517483,-0.714158254,-0.774025806,-0.24178777,-0.395995033,-0.176963342,1.235134633,0.855803639,-0.843899003,-0.646048575,0.219806137,-1.208057818,0.200708389,-1.095582189,1,0.565380817,0.445044996,0.998944571,0.274220801,0.482468456,0.094204771,0.734150481,0.369458918,0.746943304,0.400617651,0.52833365,0.577823083,0.823735012,0.811725725,0.790570608,0,0.58610682,0.059661038,0.861922684,0.323607312,0.939537995,0.70855141,0.232914262,0.241257325,0.488564428,0.339167959,0.487823821,0.962336673,0.79263185,0.114724412,0.201875351,0.672243232,0.177809061,0.617043492,0.200957403,d100,c75,b50,d100,b50,b50,a25,c75,b50,c75,b50,c75,c75,d100,d100,d100,a25,c75,a25,d100,b50,d100,c75,a25,a25,b50,b50,b50,d100,d100,a25,a25,c75,a25,c75,a25,-2.9291,-0.18341,-0.46996,3.07749
2222.tsv,Ca,b_conc,nat,0.60699,0.47849,0.19427,0.017904,3032.8757,115.7247,2.3309,51878.4721,179.1599,0.94745,0.64555,320.1071,0.4393,-0.068577,0.31123,0.20522,0.34816,0.39288,0.15148,0.2907,0.26106,0.19528,0.34232,0.18494,0.055001,3483.6883,42.8798,2109.4596,0.6791,0.057889,19.4331,3.2745,2198.8768,166.8029,-0.0018486,1261.9731,0.23586491,-0.843025279,-1.184106984,0.027999147,0.288530803,0.443426385,-0.691274623,1.032087219,-0.957714967,-0.819967907,1.296248344,0.699909543,1.614105017,-1.492874531,-0.506669242,-1.78893733,0.165627374,0.077759675,-0.705134908,0.734949109,0.667708287,-0.258712483,-0.513808684,-0.070864797,-1.178796198,-0.961315543,-0.365590307,-0.706340347,0.301382928,0.754690348,0.452558421,1.112101327,0.551135532,-0.802412689,0.039099159,0.929163894,0.620958196,0.26874769,0.254362457,0.566377431,0.487611366,0.593054374,0.25921479,0.793771971,0.141438089,0.23074337,0.844589563,0.768006884,0.846414696,0,0.283001173,0,0.545201366,0.563051625,0.308617584,0.711603089,0.636734157,0.35815899,0.292299467,0.419347106,0.136802585,0.302116233,0.3472228,0.343429215,0.683321539,0.76467567,0.502197512,0.697415766,0.766874516,0.298889733,0.568972298,0.780596449,c75,b50,b50,c75,b50,c75,b50,d100,a25,a25,d100,d100,d100,a25,b50,a25,c75,c75,b50,c75,c75,b50,b50,b50,a25,b50,b50,b50,c75,d100,c75,c75,d100,b50,c75,d100,-4.00132,-0.56125,0.09929,0.74018
