filename,musician,express,social,feat_acceleration,feat_convexhull,feat_cumuldist,feat_density,feat_directness,feat_distance,feat_entrop,feat_fluidity,feat_headpelvis,feat_headpelvisThreshold,feat_jerk,feat_mckinen,feat_shoulderhead,feat_shoulderheadThreshold,feat_shoulderpelvis,feat_shoulderpelvisThreshold,feat_speed,feat_syma_metry,feat_zscore_acceleration,feat_zscore_convexhull,feat_zscore_cumuldist,feat_zscore_density,feat_zscore_directness,feat_zscore_distance,feat_zscore_entrop,feat_zscore_fluidity,feat_zscore_headpelvis,feat_zscore_headpelvisThreshold,feat_zscore_jerk,feat_zscore_mckinen,feat_zscore_shoulderhead,feat_zscore_shoulderheadThreshold,feat_zscore_shoulderpelvis,feat_zscore_shoulderpelvisThreshold,feat_zscore_speed,feat_zscore_syma_metry,feat_zscore_norm_acceleration,feat_zscore_norm_convexhull,feat_zscore_norm_cumuldist,feat_zscore_norm_density,feat_zscore_norm_directness,feat_zscore_norm_distance,feat_zscore_norm_entrop,feat_zscore_norm_fluidity,feat_zscore_norm_headpelvis,feat_zscore_norm_headpelvisThreshold,feat_zscore_norm_jerk,feat_zscore_norm_mckinen,feat_zscore_norm_shoulderhead,feat_zscore_norm_shoulderheadThreshold,feat_zscore_norm_shoulderpelvis,feat_zscore_norm_shoulderpelvisThreshold,feat_zscore_norm_speed,feat_zscore_norm_syma_metry,feat_zscore_norm_fact_acceleration,feat_zscore_norm_fact_convexhull,feat_zscore_norm_fact_cumuldist,feat_zscore_norm_fact_density,feat_zscore_norm_fact_directness,feat_zscore_norm_fact_distance,feat_zscore_norm_fact_entrop,feat_zscore_norm_fact_fluidity,feat_zscore_norm_fact_headpelvis,feat_zscore_norm_fact_headpelvisThreshold,feat_zscore_norm_fact_jerk,feat_zscore_norm_fact_mckinen,feat_zscore_norm_fact_shoulderhead,feat_zscore_norm_fact_shoulderheadThreshold,feat_zscore_norm_fact_shoulderpelvis,feat_zscore_norm_fact_shoulderpelvisThreshold,feat_zscore_norm_fact_speed,feat_zscore_norm_fact_syma_metry,Component_1,Component_2,Component_3,Component_4
1111.tsv,As,a_met,abs,533.4899,166154500,2744.759,389.1028,2.56347,435.7446,0.07170658,9.26E-18,45.0619,48.71108,14014.13,0.003561689,12.65836,16.40785,33.04078,38.94985,76.08429,-0.7631114,-1.347675449,0.048035639,-1.360143775,0.968159856,2.187981135,1.45300943,0.432557602,0.635227624,-0.220115952,-0.911026,-1.396267994,-1.500918383,1.684455605,1.289703747,-0.796614923,-1.332853672,-1.54947953,-0.670899282,0.022218054,0.449687895,0.03142614,0.857923763,1,0.935948383,0.622494389,0.653650136,0.449368263,0.226297405,0,0,0.965627759,0.979886795,0.241744956,0.152880183,0,0.250910704,a25,b50,a25,d100,d100,d100,c75,c75,b50,a25,a25,a25,d100,d100,a25,a25,a25,b50,-3.61807,0.79647,0.40963,1.16279
1121.tsv,As,a_met,nat,528.3932,165842400,2744.703,385.4284,0.9749284,390.6685,0.06404061,2.07E-17,48.81663,52.35295,14173.37,0.004445724,11.24333,15.70074,37.5733,44.24649,79.64443,-0.7653708,-1.412976105,-0.158797053,-1.360239908,-1.119785545,-0.079612433,-0.996982373,-0.341426491,1.125043652,1.519308574,0.919343876,-1.337154709,-1.095677428,-0.12863027,0.002742179,1.406913975,0.525966201,-1.245900213,-0.818503112,0,0.387681177,0.031390767,0.237549522,0.356214047,0.142151671,0.392086638,0.780440097,1,0.769828764,0.020083673,0.137246266,0.448519359,0.537799555,0.892216335,0.690622779,0.109815659,0.201580784,a25,b50,a25,a25,b50,a25,b50,d100,d100,d100,a25,a25,b50,c75,d100,c75,a25,a25,-3.71463,2.43017,0.47723,0.41898
1211.tsv,As,b_conc,abs,724.7097,164115000,3893.68,385.1057,0.8067534,398.1528,0.06528545,-2.89E-17,42.64332,47.1948,21051.94,0.00950931,11.1921,15.43422,31.45123,38.91957,104.6947,-0.7347016,1.102297771,-1.303567295,0.612162134,-1.303156975,-0.319676998,-0.590193106,-0.215742937,-1.001191315,-1.340552672,-1.673094178,1.216317215,1.225466444,-0.194271556,-0.482332275,-1.569390191,-1.343480233,0.890179788,1.185078102,0.855802894,0.044488596,0.757165799,0.18306586,0.288058008,0.273951289,0.429501444,0.230059479,0.09468313,0,0.887622906,0.923367035,0.429797874,0.371170472,0.013625327,0.149805999,0.882513338,0.871187408,d100,a25,d100,a25,b50,b50,b50,a25,a25,a25,d100,d100,b50,b50,a25,a25,d100,d100,-1.43595,3.28579,0.08609,0.80395
1221.tsv,As,b_conc,nat,680.7033,168924400,4143.67,389.9443,0.5598954,432.7708,0.08426669,2.05E-17,43.42603,50.53509,19311.71,0.006736055,11.20237,15.44992,34.01843,42.99459,99.932,-0.7742128,0.538472783,1.883684066,1.04130979,1.446334811,-0.672059091,1.291376422,1.700671794,1.117223801,-0.977952706,0.005704404,0.570306715,-0.045791484,-0.181112548,-0.453757801,-0.32132082,0.086620389,0.484056093,-1.396140125,0.663965711,1,0.915077142,1,0.188014224,0.883579331,1,0.778415911,0.209467673,0.498522013,0.668141561,0.492819721,0.433550941,0.380986158,0.382049542,0.563523343,0.735603655,0.008531673,c75,d100,d100,d100,a25,d100,d100,d100,a25,b50,c75,b50,b50,b50,b50,c75,c75,a25,-1.95439,2.12572,-0.70991,0.8249
1311.tsv,As,c_emph,abs,669.4135,164891300,4062.474,387.2367,0.5550616,404.317,0.05099537,-1.81E-17,45.70839,51.63063,18864.4,0.008686237,10.03192,14.84054,35.9873,45.82898,101.7472,-0.7428989,0.393824019,-0.78910328,0.901923922,-0.092235015,-0.678959189,-0.255154373,-1.658521165,-0.538194587,0.079378436,0.556312584,0.404255701,0.848170423,-1.680816697,-1.562847816,0.635864573,1.08133033,0.638841347,0.649558549,0.614750064,0.198720622,0.863788013,0.542857257,0.186055237,0.382503752,0,0.349907205,0.544176121,0.662026022,0.611725914,0.795585107,0.005821828,0,0.664606174,0.85128544,0.7915951,0.692214158,c75,a25,d100,c75,a25,b50,a25,b50,c75,c75,c75,d100,a25,a25,c75,d100,d100,c75,-2.21112,3.43495,-0.63686,0.17087
1321.tsv,As,c_emph,nat,695.3442,166564500,3633.189,387.5762,0.7240921,392.415,0.06823903,-3.68E-17,47.56599,52.71789,19236.92,0.008076681,11.73424,16.36213,36.00516,45.54713,103.4296,-0.7367554,0.726056981,0.319747923,0.164987838,0.100682867,-0.437673425,-0.902056,0.082461197,-1.338109175,0.939934321,1.102759314,0.542543072,0.568750428,0.500375466,1.206491966,0.644547387,0.982416985,0.782302515,1.050905868,0.727789814,0.531144974,0.592621284,0.600177378,0.254557983,0.172907792,0.518273997,0.142847547,0.81659345,0.824294281,0.658708894,0.700951654,0.627917453,0.951302517,0.6671693,0.822670554,0.843490213,0.826346392,c75,c75,c75,c75,b50,a25,c75,a25,d100,d100,c75,c75,c75,d100,c75,d100,d100,d100,-2.19545,3.62117,0.02275,0.24323
2111.tsv,Ca,a_met,abs,524.632,186709400,2251.886,424.938,2.393528,444.1075,0.09006386,2.78E-17,22.61799,26.84021,13870.74,0.002750336,2.399492,5.246588,21.96142,25.20303,69.36239,-0.8850058,-1.180132772,-1.052776432,-1.445549005,-1.053079692,1.79513648,-0.855602542,0.148564276,0.401202515,-0.698579822,-1.384226692,-1.16284358,-1.420585561,-1.494516469,-1.522352472,0.842831344,-1.298943205,-1.42814854,-0.555124081,0.079223181,0.119673608,0,0.257369289,0.888468606,0.1879587,0.537952259,0.59307222,0.297905875,0.085779677,0.079305684,0.027206973,0.058956329,0.013910652,0.725701792,0.162690226,0.043889823,0.289603342,a25,a25,a25,b50,d100,a25,c75,c75,b50,a25,a25,a25,a25,a25,c75,a25,a25,b50,-1.82856,-3.52517,-0.49464,2.05783
2121.tsv,Ca,a_met,nat,557.6944,184823200,2360.555,423.8609,1.726972,446.2892,0.1178407,1.20E-17,26.68675,35.02743,14615.2,0.002971661,5.25195,12.79377,22.22678,26.05279,72.29694,-0.8791693,-1.02296604,-1.45196567,-1.368411581,-1.579648056,0.710542068,-0.448181357,1.332634941,0.033607325,1.168623676,0.78837795,-1.008233714,-1.38690362,0.279112966,1.028574124,1.111104212,-0.991464114,-1.356016878,-0.298091133,0.132697972,0,0.028383877,0.100914313,0.580544533,0.319963059,0.890438907,0.497919393,0.888987288,0.730938216,0.131834213,0.038614311,0.564811398,0.890185535,0.804894683,0.251641612,0.069982464,0.375505008,a25,a25,a25,a25,c75,b50,d100,b50,d100,c75,a25,a25,c75,d100,d100,b50,a25,b50,-1.52785,-2.60388,0.20458,1.37889
2211.tsv,Ca,b_conc,abs,730.1419,193207700,5339.229,427.9464,0.4702809,442.5681,0.06545986,-2.08E-17,23.89571,31.06268,18250.91,0.01552113,5.087171,10.61435,20.09623,28.25318,144.9963,-0.8476086,-0.203212783,0.322502662,0.745965454,0.417654934,-1.334297594,-1.143077527,-0.90025462,-0.726722583,-0.112218559,-0.26372939,-0.253167443,0.522914395,0.176655057,0.291936205,-1.042832933,-0.195269993,0.430943883,1.091806879,0.411612812,0.531970822,0.806400746,0.694356711,0,0.094816879,0.225728785,0.301106317,0.483524231,0.418513203,0.388367135,0.68542799,0.53558948,0.637141285,0.169062556,0.481974578,0.716391041,0.84001571,b50,c75,d100,c75,a25,a25,a25,b50,b50,b50,b50,c75,c75,c75,a25,b50,c75,d100,1.48169,-0.49202,-1.80778,-0.15587
2222.tsv,Ca,b_conc,nat,732.1646,197672400,5527.54,429.8686,1.047383,447.6108,0.05104631,-2.41E-17,27.2859,38.44189,18557.43,0.01668851,7.705928,13.68883,21.95081,33.20192,150.9291,-0.8798414,-0.193597596,1.26739726,0.879635823,1.357372425,-0.395259144,-0.201379395,-1.514675185,-0.804458392,1.443580905,1.694457382,-0.189509199,0.700569988,1.804971582,1.331101923,0.832104877,1.595393344,0.576772964,-0.327689667,0.414884306,0.81524235,0.855586771,0.973567329,0.266599699,0.399926831,0.042821589,0.280984231,0.976027671,1,0.409994953,0.745596061,1,0.994107581,0.72253539,1,0.769142713,0.365613033,b50,d100,d100,d100,b50,b50,a25,b50,d100,d100,b50,c75,d100,d100,c75,d100,d100,b50,1.18035,-0.34014,-2.14568,-0.89276
